Start,End,Frequency,Route
Tottenham Court Road,Custom House EL,2,Tottenham Court Road - Custom House EL
Uxbridge,East Finchley,2,Uxbridge - East Finchley
Camden Town,Bank,2,Camden Town - Bank
Bank,Earls Court,2,Bank - Earls Court
Bank,Farringdon,2,Bank - Farringdon
Shenfield,Green Park,2,Shenfield - Green Park
Westminster,Mile End,2,Westminster - Mile End
Baker Street,Waterloo,2,Baker Street - Waterloo
Whitechapel,Finsbury Park,2,Whitechapel - Finsbury Park
Kentish Town,Brixton,2,Kentish Town - Brixton
Baker Street,West Hampstead,2,Baker Street - West Hampstead
Baker Street,Westminster,2,Baker Street - Westminster
Kensington Olympia,Oxford Circus,2,Kensington Olympia - Oxford Circus
Elephant & Castle,Canada Water,2,Elephant & Castle - Canada Water
Lewisham DLR,Marble Arch,2,Lewisham DLR - Marble Arch
Balham,Barking,2,Balham - Barking
Russell Square,Kings Cross St Pancras,2,Russell Square - Kings Cross St Pancras
Leyton,Bond Street,2,Leyton - Bond Street
Elephant & Castle,Bond Street,2,Elephant & Castle - Bond Street
Leytonstone,Liverpool St NR,2,Leytonstone - Liverpool St NR
Seven Sisters,Piccadilly Circus,2,Seven Sisters - Piccadilly Circus
Elephant & Castle,Kings Cross St Pancras,2,Elephant & Castle - Kings Cross St Pancras
Shepherds Bush,Bond Street,2,Shepherds Bush - Bond Street
Barking,Brixton,2,Barking - Brixton
Piccadilly Circus,Turnpike Lane,2,Piccadilly Circus - Turnpike Lane
Barking,Clapham South,2,Barking - Clapham South
Piccadilly Circus,Tower Hill,2,Piccadilly Circus - Tower Hill
Barking,Euston NR,2,Barking - Euston NR
Farringdon,Knightsbridge,2,Farringdon - Knightsbridge
Barking,Forest Gate,2,Barking - Forest Gate
Leicester Square,Whitechapel,2,Leicester Square - Whitechapel
Whitechapel,Kings Cross St Pancras,2,Whitechapel - Kings Cross St Pancras
Leicester Square,Westbourne Park,2,Leicester Square - Westbourne Park
Whitechapel,Wembley Park,2,Whitechapel - Wembley Park
Westminster,Liverpool Street,2,Westminster - Liverpool Street
Seven Sisters,Kings Cross St Pancras,2,Seven Sisters - Kings Cross St Pancras
Westminster,Leicester Square,2,Westminster - Leicester Square
Farringdon,Bond Street,2,Farringdon - Bond Street
Leytonstone,Kings Cross St Pancras,2,Leytonstone - Kings Cross St Pancras
Russell Square,Waterloo,2,Russell Square - Waterloo
Kensal Rise,Clapham South,2,Kensal Rise - Clapham South
Russell Square,Paddington,2,Russell Square - Paddington
Russell Square,Moorgate,2,Russell Square - Moorgate
Kentish Town West,Green Park,2,Kentish Town West - Green Park
Whitechapel,Tower Hill,2,Whitechapel - Tower Hill
Elephant & Castle,Embankment,2,Elephant & Castle - Embankment
Whitechapel,Tottenham Court Road,2,Whitechapel - Tottenham Court Road
Whitechapel,Stratford,2,Whitechapel - Stratford
Euston NR,Waterloo,2,Euston NR - Waterloo
Baker Street,Piccadilly Circus,2,Baker Street - Piccadilly Circus
Leicester Square,Tottenham Court Road,2,Leicester Square - Tottenham Court Road
Leicester Square,Turnpike Lane,2,Leicester Square - Turnpike Lane
Leicester Square,Vauxhall,2,Leicester Square - Vauxhall
Whitechapel,Moorgate,2,Whitechapel - Moorgate
Baker Street,Stratford,2,Baker Street - Stratford
Whitechapel,Liverpool St NR,2,Whitechapel - Liverpool St NR
Woolwich Arsenal DLR,Waterloo,2,Woolwich Arsenal DLR - Waterloo
Parsons Green,Highbury & Islington,2,Parsons Green - Highbury & Islington
Euston,Canary Wharf,2,Euston - Canary Wharf
Sloane Square,Canning Town,2,Sloane Square - Canning Town
Finchley Road,Warren Street,2,Finchley Road - Warren Street
Wembley Park,Piccadilly Circus,2,Wembley Park - Piccadilly Circus
Wembley Park,St Pauls,2,Wembley Park - St Pauls
Waterloo,Westminster,2,Waterloo - Westminster
Waterloo,West Hampstead,2,Waterloo - West Hampstead
Finchley Central,London Bridge,2,Finchley Central - London Bridge
Piccadilly Circus,Balham,2,Piccadilly Circus - Balham
Liverpool Street,Wembley Central,2,Liverpool Street - Wembley Central
Blackhorse Road,Liverpool Street,2,Blackhorse Road - Liverpool Street
London Bridge,Bank,2,London Bridge - Bank
Wembley Park,Kings Cross St Pancras,2,Wembley Park - Kings Cross St Pancras
Liverpool Street,Elephant & Castle,2,Liverpool Street - Elephant & Castle
Piccadilly Circus,Brixton,2,Piccadilly Circus - Brixton
Waterloo,Shepherds Bush,2,Waterloo - Shepherds Bush
Waterloo,Sloane Square,2,Waterloo - Sloane Square
Watford Junction,Farringdon,2,Watford Junction - Farringdon
Parsons Green,London Bridge,2,Parsons Green - London Bridge
Waterloo,South Kensington,2,Waterloo - South Kensington
Sloane Square,Clapham Junction,2,Sloane Square - Clapham Junction
Stockwell,Oxford Circus,2,Stockwell - Oxford Circus
Wembley Park,Waterloo,2,Wembley Park - Waterloo
Earls Court,Northwick Park,2,Earls Court - Northwick Park
Shepherds Bush Market,Green Park,2,Shepherds Bush Market - Green Park
Park Royal,Oxford Circus,2,Park Royal - Oxford Circus
Paddington EL,Wood Green,2,Paddington EL - Wood Green
Waterloo,Willesden Green,2,Waterloo - Willesden Green
Waterloo,Moorgate,2,Waterloo - Moorgate
Piccadilly Circus,Edgware Road C&H,2,Piccadilly Circus - Edgware Road C&H
Bond Street,Bank,2,Bond Street - Bank
Holborn,Tottenham Court Road,2,Holborn - Tottenham Court Road
Waterloo,Knightsbridge,2,Waterloo - Knightsbridge
Liverpool Street,Oval,2,Liverpool Street - Oval
East Acton,Euston,2,East Acton - Euston
Liverpool Street,Camden Town,2,Liverpool Street - Camden Town
East Ham,Elephant & Castle,2,East Ham - Elephant & Castle
Earls Court,Clapham Junction,2,Earls Court - Clapham Junction
East Ham,Earls Court,2,East Ham - Earls Court
Finchley Road,Camden Town,2,Finchley Road - Camden Town
Blackhorse Road,Canary Wharf,2,Blackhorse Road - Canary Wharf
Wembley Park,Euston,2,Wembley Park - Euston
Waterloo,Regents Park,2,Waterloo - Regents Park
Liverpool Street,Liverpool St NR,2,Liverpool Street - Liverpool St NR
Piccadilly Circus,Canary Wharf,2,Piccadilly Circus - Canary Wharf
London Bridge,Balham,2,London Bridge - Balham
Waterloo,Surrey Quays,2,Waterloo - Surrey Quays
Holborn,Farringdon,2,Holborn - Farringdon
Earls Court,Highbury & Islington,2,Earls Court - Highbury & Islington
London Bridge,Angel,2,London Bridge - Angel
Silver Street,Aldgate East,2,Silver Street - Aldgate East
Holborn,Balham,2,Holborn - Balham
Homerton,Tottenham Court Road,2,Homerton - Tottenham Court Road
Enfield Town,Highbury & Islington,2,Enfield Town - Highbury & Islington
Liverpool Street,North Greenwich,2,Liverpool Street - North Greenwich
Bethnal Green,Waterloo,2,Bethnal Green - Waterloo
Waterloo,Euston Square,2,Waterloo - Euston Square
Shepherds Bush,Plaistow,2,Shepherds Bush - Plaistow
Holborn,Oxford Circus,2,Holborn - Oxford Circus
East Ham,North Greenwich,2,East Ham - North Greenwich
Holborn,Moorgate,2,Holborn - Moorgate
Bond Street,Green Park,2,Bond Street - Green Park
London Bridge,Farringdon,2,London Bridge - Farringdon
Hornchurch,London Bridge,2,Hornchurch - London Bridge
Bayswater,Liverpool Street,2,Bayswater - Liverpool Street
Liverpool Street,Westminster,2,Liverpool Street - Westminster
London Bridge,Dagenham East,2,London Bridge - Dagenham East
Liverpool Street,Bond Street,2,Liverpool Street - Bond Street
Bethnal Green,Liverpool Street,2,Bethnal Green - Liverpool Street
Liverpool Street,Piccadilly Circus,2,Liverpool Street - Piccadilly Circus
Paddington EL,Oxford Circus,2,Paddington EL - Oxford Circus
Earls Court,Borough,2,Earls Court - Borough
Waterloo,Holloway Road,2,Waterloo - Holloway Road
Piccadilly Circus,Farringdon,2,Piccadilly Circus - Farringdon
Waterloo,Hyde Park Corner,2,Waterloo - Hyde Park Corner
Shepherds Bush,Victoria,2,Shepherds Bush - Victoria
Paddington EL,Northwick Park,2,Paddington EL - Northwick Park
Highgate,Liverpool Street,2,Highgate - Liverpool Street
Waterloo,Euston,2,Waterloo - Euston
Shepherds Bush,Liverpool Street,2,Shepherds Bush - Liverpool Street
Earls Court,Wembley Park,2,Earls Court - Wembley Park
Farringdon,Stratford,2,Farringdon - Stratford
Blackfriars,Baker Street,2,Blackfriars - Baker Street
Bond Street,Clapham South,2,Bond Street - Clapham South
Piccadilly Circus,Hammersmith D&P,2,Piccadilly Circus - Hammersmith D&P
Bond Street,Epping,2,Bond Street - Epping
Parsons Green,Tottenham Court Road,2,Parsons Green - Tottenham Court Road
London Bridge,Elephant & Castle,2,London Bridge - Elephant & Castle
Liverpool St NR,West Croydon,2,Liverpool St NR - West Croydon
Shepherds Bush,Stratford,2,Shepherds Bush - Stratford
Liverpool St NR,Woodford,2,Liverpool St NR - Woodford
Paddington EL,Marble Arch,2,Paddington EL - Marble Arch
Liverpool Street,Temple,2,Liverpool Street - Temple
Earls Court,Warren Street,2,Earls Court - Warren Street
Wembley Central,Victoria,2,Wembley Central - Victoria
West Croydon,Warren Street,2,West Croydon - Warren Street
Liverpool Street,Baker Street,2,Liverpool Street - Baker Street
Shepherds Bush,Turnham Green,2,Shepherds Bush - Turnham Green
Finchley Road,Charing Cross,2,Finchley Road - Charing Cross
Liverpool Street,Queensway,2,Liverpool Street - Queensway
Bond Street,Farringdon,2,Bond Street - Farringdon
London Bridge,Euston,2,London Bridge - Euston
Shepherds Bush,Oxford Circus,2,Shepherds Bush - Oxford Circus
Shoreditch High Street,London Bridge,2,Shoreditch High Street - London Bridge
Waterloo,Kilburn Park,2,Waterloo - Kilburn Park
Liverpool Street,Brixton,2,Liverpool Street - Brixton
Liverpool Street,Tottenham Court Road,2,Liverpool Street - Tottenham Court Road
Liverpool Street,Heron Quays,2,Liverpool Street - Heron Quays
Willesden Junction,Stratford,2,Willesden Junction - Stratford
Leicester Square,Elephant & Castle,2,Leicester Square - Elephant & Castle
Kilburn,Canary Wharf,2,Kilburn - Canary Wharf
Willesden Junction,Leicester Square,2,Willesden Junction - Leicester Square
Willesden Junction,Kings Cross St Pancras,2,Willesden Junction - Kings Cross St Pancras
Elephant & Castle,Seven Sisters,2,Elephant & Castle - Seven Sisters
Embankment,Hammersmith D&P,2,Embankment - Hammersmith D&P
Baker Street,Covent Garden,2,Baker Street - Covent Garden
Leicester Square,Kings Cross St Pancras,2,Leicester Square - Kings Cross St Pancras
Elephant & Castle,Oxford Circus,2,Elephant & Castle - Oxford Circus
Willesden Junction,Bond Street,2,Willesden Junction - Bond Street
Leicester Square,Liverpool Street,2,Leicester Square - Liverpool Street
Baker Street,Embankment,2,Baker Street - Embankment
Willesden Green,Upton Park,2,Willesden Green - Upton Park
Leicester Square,London Bridge,2,Leicester Square - London Bridge
Leicester Square,Mudchute,2,Leicester Square - Mudchute
Willesden Green,Notting Hill Gate,2,Willesden Green - Notting Hill Gate
Leicester Square,Northfields,2,Leicester Square - Northfields
Baker Street,Holborn,2,Baker Street - Holborn
Willesden Green,Euston,2,Willesden Green - Euston
Leicester Square,Oxford Circus,2,Leicester Square - Oxford Circus
Kilburn,Liverpool Street,2,Kilburn - Liverpool Street
Wimbledon,Gunnersbury,2,Wimbledon - Gunnersbury
Arsenal,Camden Town,2,Arsenal - Camden Town
Leicester Square,Earls Court,2,Leicester Square - Earls Court
Wimbledon,Bond Street,2,Wimbledon - Bond Street
Knightsbridge,Baker Street,2,Knightsbridge - Baker Street
Euston,Canning Town,2,Euston - Canning Town
Queensway,Waterloo,2,Queensway - Waterloo
Kings Cross St Pancras,Leytonstone,2,Kings Cross St Pancras - Leytonstone
Woolwich Arsenal DLR,Green Park,2,Woolwich Arsenal DLR - Green Park
Richmond,Brixton,2,Richmond - Brixton
Acton Town,Stratford,2,Acton Town - Stratford
Richmond,Camden Town,2,Richmond - Camden Town
Richmond,Canary Wharf,2,Richmond - Canary Wharf
Euston,Euston NR,2,Euston - Euston NR
Embankment,Victoria,2,Embankment - Victoria
Knightsbridge,Bank,2,Knightsbridge - Bank
Wimbledon,Brixton,2,Wimbledon - Brixton
Knightsbridge,Beckton,2,Knightsbridge - Beckton
Kings Cross St Pancras,Canning Town,2,Kings Cross St Pancras - Canning Town
Euston,Mile End,2,Euston - Mile End
Elephant & Castle,London Bridge,2,Elephant & Castle - London Bridge
Baker Street,Canada Water,2,Baker Street - Canada Water
Wimbledon,Fairlop,2,Wimbledon - Fairlop
Leicester Square,Canary Wharf,2,Leicester Square - Canary Wharf
Wimbledon,Euston,2,Wimbledon - Euston
Elm Park,London Bridge,2,Elm Park - London Bridge
Wimbledon,Charing Cross,2,Wimbledon - Charing Cross
Leicester Square,Bond Street,2,Leicester Square - Bond Street
Wimbledon,Kings Cross St Pancras,2,Wimbledon - Kings Cross St Pancras
Euston,Monument,2,Euston - Monument
London Bridge,Canary Wharf EL,2,London Bridge - Canary Wharf EL
Liverpool St NR,Piccadilly Circus,2,Liverpool St NR - Piccadilly Circus
Bank,Finsbury Park,2,Bank - Finsbury Park
Liverpool Street,Great Portland Street,2,Liverpool Street - Great Portland Street
Waterloo,Piccadilly Circus,2,Waterloo - Piccadilly Circus
Finchley Road,Oxford Circus,2,Finchley Road - Oxford Circus
Holborn,Highbury & Islington,2,Holborn - Highbury & Islington
Finchley Road,Baker Street,2,Finchley Road - Baker Street
Liverpool Street,Clapham Junction,2,Liverpool Street - Clapham Junction
Blackhorse Road,Victoria,2,Blackhorse Road - Victoria
Earls Court,Farringdon,2,Earls Court - Farringdon
Liverpool Street,Moorgate,2,Liverpool Street - Moorgate
Embankment,Bank,2,Embankment - Bank
Bond Street,Barking,2,Bond Street - Barking
Waterloo,Pimlico,2,Waterloo - Pimlico
Liverpool Street,Upton Park,2,Liverpool Street - Upton Park
Liverpool Street,Mile End,2,Liverpool Street - Mile End
London Bridge,Canary Wharf DLR,2,London Bridge - Canary Wharf DLR
London Bridge,Canada Water,2,London Bridge - Canada Water
Belsize Park,Green Park,2,Belsize Park - Green Park
Shepherds Bush LO,Oxford Circus,2,Shepherds Bush LO - Oxford Circus
London Bridge,Charing Cross,2,London Bridge - Charing Cross
Watford Junction,Victoria,2,Watford Junction - Victoria
Archway,White City,2,Archway - White City
Latimer Road,Stratford,2,Latimer Road - Stratford
Angel,Kings Cross St Pancras,2,Angel - Kings Cross St Pancras
Queens Rd Peckham,Liverpool Street,2,Queens Rd Peckham - Liverpool Street
Kings Cross St Pancras,Blackhorse Road,2,Kings Cross St Pancras - Blackhorse Road
Angel,Notting Hill Gate,2,Angel - Notting Hill Gate
Euston,North Greenwich,2,Euston - North Greenwich
Embankment,Golders Green,2,Embankment - Golders Green
Kings Cross St Pancras,Barking,2,Kings Cross St Pancras - Barking
Kings Cross St Pancras,Barbican,2,Kings Cross St Pancras - Barbican
Kings Cross St Pancras,Balham,2,Kings Cross St Pancras - Balham
Romford,Northolt,2,Romford - Northolt
Wimbledon,Waterloo,2,Wimbledon - Waterloo
Angel,Victoria,2,Angel - Victoria
Angel,Warren Street,2,Angel - Warren Street
Euston,Romford,2,Euston - Romford
Euston,Oxford Circus,2,Euston - Oxford Circus
Romford,Surrey Quays,2,Romford - Surrey Quays
Wimbledon,Tottenham Court Road,2,Wimbledon - Tottenham Court Road
Wimbledon,Tooting Bec,2,Wimbledon - Tooting Bec
Lancaster Gate,Westminster,2,Lancaster Gate - Westminster
Archway,Canary Wharf,2,Archway - Canary Wharf
Romford,Tower Hill,2,Romford - Tower Hill
Embankment,Clapham Junction,2,Embankment - Clapham Junction
Kilburn Park,Green Park,2,Kilburn Park - Green Park
Embankment,Chancery Lane,2,Embankment - Chancery Lane
Oxford Circus,Paddington,2,Oxford Circus - Paddington
Euston,Sloane Square,2,Euston - Sloane Square
Oxford Circus,Mile End,2,Oxford Circus - Mile End
London Bridge,Sloane Square,2,London Bridge - Sloane Square
Stratford,Wimbledon,2,Stratford - Wimbledon
Paddington EL,Hammersmith D&P,2,Paddington EL - Hammersmith D&P
Green Park,Liverpool Street,2,Green Park - Liverpool Street
Waterloo,Bank,2,Waterloo - Bank
Waterloo,Canning Town,2,Waterloo - Canning Town
Clapham Junction,Barking,2,Clapham Junction - Barking
Finsbury Park,Hammersmith D&P,2,Finsbury Park - Hammersmith D&P
Clapham Junction,Bank,2,Clapham Junction - Bank
London Bridge,Hayes & Harlington,2,London Bridge - Hayes & Harlington
Green Park,Hammersmith D&P,2,Green Park - Hammersmith D&P
Bond Street,Old Street,2,Bond Street - Old Street
Waterloo,Blackhorse Road,2,Waterloo - Blackhorse Road
Waterloo,Blackfriars,2,Waterloo - Blackfriars
Waterloo,Battersea Power Station,2,Waterloo - Battersea Power Station
Clapham Junction,Angel,2,Clapham Junction - Angel
Waterloo,Barking,2,Waterloo - Barking
Clapham Common,Charing Cross,2,Clapham Common - Charing Cross
Stratford,Old Street,2,Stratford - Old Street
Clapham Common,Barking,2,Clapham Common - Barking
London Bridge,Tottenham Court Road,2,London Bridge - Tottenham Court Road
Ealing Broadway,Covent Garden,2,Ealing Broadway - Covent Garden
Paddington,Sloane Square,2,Paddington - Sloane Square
London Bridge,Shepherds Bush,2,London Bridge - Shepherds Bush
Stratford,White City,2,Stratford - White City
Stratford,Upton Park,2,Stratford - Upton Park
London Bridge,Hammersmith D&P,2,London Bridge - Hammersmith D&P
Ealing Broadway,Liverpool St NR,2,Ealing Broadway - Liverpool St NR
Warren Street,Wood Green,2,Warren Street - Wood Green
London Bridge,Knightsbridge,2,London Bridge - Knightsbridge
Highbury & Islington,Liverpool Street,2,Highbury & Islington - Liverpool Street
London Bridge,Lambeth North,2,London Bridge - Lambeth North
Green Park,St Pauls,2,Green Park - St Pauls
Clapham Common,Hammersmith D&P,2,Clapham Common - Hammersmith D&P
Green Park,Stratford,2,Green Park - Stratford
Ealing Broadway,London Bridge,2,Ealing Broadway - London Bridge
Finsbury Park,Liverpool Street,2,Finsbury Park - Liverpool Street
Green Park,Tottenham Court Road,2,Green Park - Tottenham Court Road
Surrey Quays,Vauxhall,2,Surrey Quays - Vauxhall
Sloane Square,Waterloo,2,Sloane Square - Waterloo
Waterloo,Aldgate,2,Waterloo - Aldgate
Green Park,North Greenwich,2,Green Park - North Greenwich
